mot,citation
image," Image ressemblante, fidèle."
image,"Le vol des choses consacrées à Dieu était un sacrilège, parce que ce vol renfermait une profanation de choses saintes : tel était le vol des calices, ciboires, reliques, images et même des troncs d'église."
image,"C’était un plastron en flanelle rouge, l’un de ces talismans quasi hygiéniques qui, avec les pilules et les spécialités pharmaceutiques, remplacent, chez les peuples protestants de la chrétienté, les images et les reliques miraculeuses."
image,"Installée près du lit, […] elle baisait, une à une, des images de piété insérées dans un livre vêtu de drap noir."
image,Tu ne te feras point d’image taillée.
image,"Je me demande si les autres, en vieillissant, éprouvent la même surprise que moi lorsqu’ils se regardent le matin dans la glace. Je me vois si laid qu’il m’arrive de m’adresser une grimace. Peut-être n’ai-je jamais été beau ; pendant une bonne partie de ma vie, j’ai cependant pu rencontrer mon image sans répugnance, sinon avec une secrète satisfaction."
image,Les images projetées sur un écran.
image,Un marchand d’images.
image,Amuser les enfants avec des images.
image, Images d’épinal.
image, Images populaires.
image,"[…] ; puis il céda à l’aphasie, s’accota au placard, les bras collés aux cuisses, image vivante de l’animal assailli par un invincible ahurissement."
image,"Sa chair épanouie, luxuriante, lui renvoyait une image maternelle, et cela bien que sa propre mère n'eût que la peau sur les os."
image,"Cet enfant est l’image de son père, sa véritable, sa vivante image. — Une image vaine, trompeuse, fidèle. — Ses livres sont l’image de son âme."
image,"La parole est l’image de la pensée, et l’écriture est l’image de la parole."
image,Une image vaut mille mots
image,"Voir son image dans un miroir, dans l’eau."
image,"— Je le sais, fit-il ; rien n’est plus malaisé que de se désencombrer l’esprit des images qui l’obsèdent, […]."
image,"La collection des vice-présidents des États-Unis, qu’il avait décrite avec tant d’exactitude, formait une image persistante."
image,"La bière enfermerait son image dernière, celle d’un soldat tombé devant l’ennemi."
image,Les sens transmettent à l’âme l’image des objets.
image,"Se faire une image douce, agréable de quelque chose."
image,Avoir l’image de la mort présente à l’esprit.
image,Opposer l’image des combats au tableau de la vie pastorale.
image,Ce sont les images qui donnent du coloris au style.
image," Image noble, sublime, hardie, riante, confuse."
image,Cette image n’est pas claire.
image,Cette comparaison fait image.
image,L’image d’un disque dur peut être compressée ou non.
image,"Ce qui est assez remarquable, c’est ce côté Amérique à la conquête de l’ouest européen, image Luc Arrondel."
